152,193,205,10,39
151,192,203,10,39
150,190,202,10,39
149,187,202,10,39
148,184,203,11,40
147,182,203,11,40
146,179,204,11,40
145,176,206,11,40
144,173,208,11,40
143,170,208,11,41
142,167,208,11,41
141,164,208,11,41
140,160,207,11,42
139,157,206,11,42
138,154,208,11,42
137,152,209,12,42
136,149,210,12,43
135,148,211,12,43
134,147,212,12,43
133,146,213,12,44
132,147,213,12,44
131,148,214,12,44
130,150,214,12,44
129,153,214,13,44
128,155,214,13,45
127,160,214,13,45
126,165,214,13,45
125,170,214,14,45
124,176,214,14,45
123,181,214,14,45
122,186,214,14,45
121,191,214,14,46
120,196,214,14,46
119,201,214,13,46
118,206,214,13,46
117,211,214,13,47
116,216,214,14,47
115,221,214,14,47
114,226,215,14,48
113,231,215,15,48
112,236,215,15,49
111,242,215,15,49
110,247,215,16,50
109,253,215,16,50
108,258,215,16,51
107,263,216,16,51
106,268,216,16,52
105,274,216,15,53
104,280,217,16,53
103,285,218,17,54
102,291,219,17,55
101,297,220,16,56
100,302,221,17,57
99,308,222,17,59
98,314,222,18,60
97,319,223,18,61
96,324,222,19,62
95,330,220,20,64
94,335,220,21,65
93,340,220,23,67
92,345,220,25,69
91,351,221,26,70
90,356,221,28,72
89,361,221,30,74
88,365,222,32,76
87,369,222,34,78
86,374,223,36,80
85,379,224,39,82
84,382,225,41,84
83,385,227,43,85
82,388,229,45,87
81,391,228,47,89
80,392,228,46,91
79,392,226,46,92
78,391,225,47,94
77,391,224,48,95
76,390,222,49,97
75,390,221,50,98
74,389,220,52,99
73,387,218,55,100
72,385,219,59,101
71,381,221,58,101
70,377,222,58,102
69,372,221,58,102
68,366,220,58,102
67,360,219,57,102
66,353,218,56,102
65,346,217,55,101
64,338,217,54,101
63,330,217,53,101
62,323,217,51,100
61,315,217,50,100
60,307,217,49,100
59,299,217,47,99
58,291,217,46,99
57,282,217,45,98
56,274,217,44,98
55,266,218,43,97
54,259,218,42,97
53,251,219,41,96
52,243,219,41,96
51,236,220,40,95
50,228,220,40,95
49,221,221,39,95
48,214,223,39,94
47,207,224,39,94
46,200,226,39,94
45,193,227,38,94
44,186,228,38,94
43,180,229,38,94
42,174,227,38,94
41,169,225,37,94
40,163,223,37,94
39,159,222,36,94
38,154,221,35,95
37,150,220,35,96
36,145,222,33,96
35,141,224,32,97
34,138,224,30,98
33,135,226,29,99
32,132,225,28,100
31,129,226,28,101
30,127,228,29,102
29,126,226,29,103
28,125,225,30,104
27,123,223,32,105
26,121,230,33,106
25,120,242,35,108
24,119,242,37,109
23,118,242,38,110
22,117,247,39,111
21,116,252,41,112
20,115,255,42,114
19,115,248,43,114
18,115,241,44,115
17,115,233,44,116
16,116,228,45,117
15,116,236,46,118
14,117,236,46,120
13,117,237,47,121
12,118,237,47,122
11,118,237,47,124
10,119,238,48,125
9,119,232,48,127
8,120,232,49,128
7,121,230,50,130
6,121,229,50,132
5,122,231,51,134
4,123,230,51,136
3,123,230,51,138
2,124,237,52,140
1,125,244,52,142
0,125,251,53,144
